"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.533632042E0,-3.087629242E0,-6.870712280E-2,9.384135590E0
2.543682042E0,-3.954776001E0,6.316864014E-2,9.856253815E0
2.553732042E0,-5.863157501E0,-7.888595581E-2,9.809850311E0
2.563781042E0,-6.775210876E0,-1.856140137E-1,9.736053772E0
2.573831042E0,-6.983427887E0,1.025367737E-1,9.605076141E0
2.583881042E0,-7.144642639E0,5.306465149E-1,9.973609772E0
2.593930042E0,-7.082671509E0,3.911366272E-1,9.495054932E0
2.603980042E0,-7.274273071E0,3.686833191E-1,9.425150299E0
2.614030042E0,-8.021968231E0,2.742297363E-1,9.841135254E0
2.624079042E0,-8.225993958E0,-4.707710266E-1,9.695039063E0
2.634129042E0,-2.984942780E0,-1.488504639E0,9.850715332E0
2.644179042E0,-8.300239563E-1,4.477189636E-1,9.858349457E0
2.654229042E0,-4.609514465E0,5.942642212E-2,9.667047272E0
2.664278042E0,-5.145250397E0,-6.839277649E-1,9.552086334E0
2.674328042E0,-4.290078735E0,-6.322851562E-1,9.710756378E0
2.684378042E0,-3.572920074E0,-2.429447937E-1,9.706714783E0
2.694427042E0,-3.795656891E0,-1.416055298E-1,9.796827393E0
2.704477042E0,-4.439019012E0,-4.275109863E-1,9.586664429E0
2.714527042E0,-4.885989532E0,-4.146377563E-1,9.629176025E0
2.724575625E0,-3.036884766E0,-3.462300110E-1,1.134924911E1
2.734625625E0,-5.017116852E0,-1.019679565E0,8.100554810E0
2.744675625E0,-4.030967560E0,1.637594604E-1,1.010114456E1
2.754724625E0,-3.858526154E0,2.891986084E-1,9.799821167E0
2.764774625E0,-4.277355194E0,-2.049238586E-1,9.710307312E0
2.774824625E0,-4.289629669E0,-5.141807556E-1,9.711804199E0
2.784873625E0,-4.053720245E0,-3.784130859E-1,9.863887939E0
2.794923625E0,-4.698579254E0,-3.875440979E-1,9.747430115E0
2.804973625E0,-4.555027771E0,-1.067280579E-1,9.811496887E0
2.815022625E0,-5.651497650E0,-7.414082336E-1,9.876910858E0
2.825072625E0,-4.584067383E0,-1.245709534E0,9.869875488E0
2.835122625E0,-4.235741730E0,-1.414708099E0,9.422755280E0
2.845172625E0,-4.146527252E0,-1.029559021E0,9.664801941E0
2.855221625E0,-2.804867249E0,-1.031504974E0,9.556726685E0
2.865271625E0,-2.334994354E0,-4.219725037E-1,9.641899567E0
2.875321625E0,-2.033521271E0,-8.023315430E-1,9.786648560E0
2.885370625E0,-2.514471130E0,-9.270222473E-1,9.294022980E0
2.895420625E0,-3.215313721E0,-4.355941772E-1,9.597442017E0
2.905470625E0,-2.686613159E0,-3.382965088E-2,9.362580414E0
2.915519625E0,-2.138153687E0,-1.616638184E-1,1.052985306E1
2.925569625E0,-1.787882080E0,-5.842350769E-1,9.596843262E0
2.935619625E0,-1.396446075E0,-1.108744354E0,9.792037354E0
2.945668625E0,8.816665649E-2,-6.828799438E-1,9.790241089E0
2.955718625E0,-2.146536255E-1,-6.113287354E-1,9.727222137E0
2.965768625E0,-1.069525909E0,-3.954776001E-1,9.809850311E0
2.975817625E0,-1.615141296E0,-3.382965088E-2,9.658964081E0
2.985867625E0,-2.149829407E0,-1.974394226E-1,9.603279877E0
2.995917625E0,-2.049837341E0,-5.869294739E-1,9.793683929E0
3.005966625E0,-1.178499298E0,-1.655557251E-1,9.683662720E0
3.016016625E0,-1.185085602E0,-3.345542908E-1,9.668244781E0
3.026066625E0,-1.557810516E0,-8.801696777E-2,9.748178558E0
3.036115625E0,-2.186952209E-1,7.147636414E-1,9.701475677E0
3.046165625E0,-1.290316772E0,-3.278182983E-2,9.731712799E0
3.056215625E0,-8.568182373E-1,4.644841003E-1,9.839189301E0
3.066264625E0,-1.232237549E0,-4.376898193E-1,1.000684067E1
3.076314625E0,-2.633024597E-1,-6.104306030E-1,9.618398438E0
3.086364625E0,-1.044827271E-1,-1.289418640E0,9.828262024E0
3.096414625E0,5.192701721E-1,-9.452842712E-1,9.589658203E0
3.106463625E0,1.159488831E0,-5.037025452E-1,9.629176025E0
3.116513625E0,1.402433624E0,-3.016227722E-1,9.663005676E0
3.126563625E0,5.008584595E-1,-2.483335876E-1,9.682165833E0
3.136612625E0,7.514373779E-1,1.257385254E-2,9.885143738E0
3.146662625E0,9.699829102E-2,-1.442999268E-1,9.730964355E0
3.156712625E0,-9.958790588E-1,4.041595459E-1,9.694140930E0
3.166761625E0,4.927752686E-1,5.739065552E-1,9.950707397E0
3.176811625E0,-3.906875610E-2,-1.833686829E-1,9.817484436E0
3.186861625E0,-3.047662354E-1,7.373666382E-1,9.763746185E0
3.196910625E0,-1.161584473E-1,6.478527832E-1,9.696386261E0
3.206960625E0,-8.047265625E-1,2.727328491E-1,9.671388245E0
3.217010625E0,1.526824951E-2,6.445596313E-1,9.925709381E0
3.227059625E0,-5.668711853E-1,3.769161987E-1,9.791737976E0
3.237109625E0,6.156697083E-1,1.501377869E-1,9.750872955E0
3.247159625E0,2.338137817E-1,-2.007325745E-1,9.773625641E0
3.257208625E0,1.305884399E0,3.065625000E-1,9.742041321E0
3.267258625E0,1.303190002E0,-4.044589233E-1,9.647587738E0
3.277308625E0,1.666634216E0,-7.753875732E-2,9.775122528E0
3.287357625E0,1.639540558E0,3.188369751E-2,9.865235138E0
3.297407625E0,1.400188293E0,1.005908203E-1,9.829908600E0
3.307457625E0,7.559280396E-1,3.375480652E-1,9.687105560E0
3.317506625E0,3.926335144E-1,-5.718109131E-2,9.511371002E0
3.327556625E0,6.251000977E-1,-2.748284912E-1,9.998158722E0
3.337606625E0,4.373904419E-1,-2.477348328E-1,9.837243347E0
3.347656625E0,8.671467590E-1,-1.767823792E-1,9.773176575E0
3.357705625E0,1.053060150E0,8.801696777E-2,9.878856812E0
3.367755625E0,1.262774048E0,-1.347198486E-2,9.820178833E0
3.377805625E0,1.785337372E0,7.753875732E-2,9.728419647E0
3.387854625E0,2.272274780E0,4.537065125E-1,9.825867004E0
3.397904625E0,2.550396423E0,3.366499329E-1,9.822723541E0
3.407954625E0,2.880759430E0,2.005828857E-2,9.759405212E0
3.418003625E0,2.376158752E0,3.393443298E-1,9.777517548E0
3.428053625E0,2.520009613E0,3.288661194E-1,9.848320312E0
3.438103625E0,3.291505280E0,2.435435486E-1,9.938732300E0
3.448152625E0,3.671415253E0,-1.658551025E-1,9.769434357E0
3.458202625E0,4.156107330E0,-3.558100891E-1,9.831255798E0
3.468252625E0,4.737348633E0,-5.637277222E-1,9.936936035E0
3.478301625E0,5.193899231E0,2.362088013E-1,1.005563919E1
3.488351625E0,5.955365753E0,-1.257385254E-1,1.003438339E1
3.498401625E0,8.018226013E0,1.063238983E0,9.957144012E0
3.508450625E0,8.771010590E0,7.801776123E-1,8.746461639E0
3.518500625E0,8.962612152E0,-5.366340637E-1,9.915680237E0
3.528550625E0,8.167465668E0,-1.608854370E0,1.001672012E1
3.538600625E0,8.400081940E0,-1.995799713E0,9.501042480E0
3.548649625E0,6.809489594E0,-2.499502258E0,9.736951904E0
3.558699625E0,4.733007660E0,-6.249504089E-1,1.002180954E1
3.568749625E0,4.377197571E0,-7.394622803E-2,9.643995209E0
3.578798625E0,4.317771149E0,-6.402186584E-1,9.878557434E0
3.588848625E0,4.889731750E0,-3.100053406E-1,9.740245056E0
3.598898625E0,5.018613739E0,-1.369801483E0,9.704768829E0
3.608947625E0,4.447102203E0,-8.901988220E-1,1.046054718E1
3.618997625E0,5.564528503E0,-7.357200623E-1,8.792116699E0
3.629047625E0,5.350922699E0,-1.846709747E0,9.255253601E0
3.639096625E0,5.045707397E0,-6.632707214E-1,1.001103195E1
3.649146625E0,4.470902710E0,-5.963598633E-1,9.798473969E0
3.659196625E0,4.914879456E0,-4.513114929E-1,9.774823151E0
3.669245625E0,5.776338043E0,-4.311035156E-2,1.045485901E1
3.679295625E0,5.412444763E0,-1.456620941E0,9.504335632E0
3.689345625E0,4.767136688E0,-2.032024384E0,9.821076965E0
3.699394625E0,4.048331451E0,-1.930086365E0,9.966275024E0
3.709444625E0,4.347858582E0,-1.170116730E0,9.801318054E0
3.719494625E0,3.008743286E0,-6.908134460E-1,9.913883972E0
3.729543750E0,3.081791382E0,2.712359619E-1,9.724827118E0
3.739593750E0,-1.417552185E-1,-3.031196594E-1,9.678872681E0
3.749643750E0,2.508333893E0,8.994795227E-1,9.934541016E0
3.759693750E0,2.835852814E0,-6.442602539E-1,9.722282410E0
3.769742750E0,1.146615601E0,-6.976991272E-1,9.811347198E0
3.779792750E0,9.939331055E-1,-4.936734009E-1,9.857301636E0
3.789842750E0,3.013683014E0,7.484436035E-1,9.778415680E0
3.799891750E0,-1.672322388E0,-8.946894836E-1,9.677375793E0
3.809941750E0,6.496490479E-1,1.411265259E0,9.792486420E0
3.819991750E0,2.340832214E0,4.200265503E-1,9.858050079E0
3.830040750E0,-6.831793213E-1,-1.106948090E0,9.676178284E0
3.840090750E0,1.611249390E0,2.751278687E-1,9.783056030E0
3.850140750E0,2.088906097E0,3.194357300E-1,9.788444824E0
3.860189750E0,-9.258247375E-1,-1.230740662E0,9.870324554E0
3.870239750E0,2.477947083E0,4.641847229E-1,9.793534241E0
3.880289750E0,3.106639709E0,2.115101624E-1,9.748178558E0
3.890338750E0,-2.037862244E0,-1.464554443E0,9.686506805E0
3.900388750E0,2.890938263E0,2.775228882E-1,9.828860779E0
3.910438750E0,2.362387390E0,-8.672964478E-1,9.806706848E0
3.920487750E0,-4.131408691E-1,-1.047371979E0,9.750573578E0
3.930537750E0,1.549128571E0,6.556365967E-2,9.857151947E0
3.940587750E0,-1.031355286E-1,-5.517526245E-1,9.686506805E0
3.950637750E0,6.608757019E-1,-1.429527283E-1,9.744136963E0
3.960686750E0,9.750723267E-1,-1.817221069E-1,9.908644867E0
3.970736750E0,1.956431580E-1,-2.140548706E-2,9.708211670E0
3.980786750E0,8.647517395E-1,9.026229858E-2,9.753267975E0
3.990835750E0,3.769161987E-1,-3.418890381E-1,9.720186768E0
4.000885750E0,2.495310974E-1,2.020797729E-1,9.756411438E0
