"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.273312840E-1,6.580262445E-3,8.458628058E-1,9.748957634E0
4.294411380E-1,-3.649054468E-2,9.134600163E-1,9.705886841E0
4.315538200E-1,-2.632104978E-2,9.134600163E-1,9.781859398E0
4.336560330E-1,1.674975827E-2,9.367900491E-1,9.767501831E0
4.357644210E-1,-1.674975827E-2,8.751748800E-1,9.792028427E0
4.378710290E-1,-3.649054468E-2,8.512466550E-1,9.768099785E0
4.399810860E-1,-6.041877344E-2,8.560323119E-1,9.644271851E0
4.420899730E-1,-1.226321608E-1,8.703892231E-1,9.677771568E0
4.441946880E-1,-1.172483116E-1,8.608179688E-1,9.826126099E0
4.462952750E-1,-1.118644550E-1,9.996016622E-1,9.862616539E0
4.484135200E-1,-4.426721856E-2,1.124028444E0,9.851848602E0
4.505219600E-1,-6.460621208E-2,1.109671474E0,9.641879082E0
4.526327690E-1,-5.084748194E-2,1.061815023E0,9.518050194E0
4.547361110E-1,-3.110669367E-2,1.033101201E0,9.709476471E0
4.568374100E-1,-6.460621208E-2,9.996016622E-1,9.762118340E0
4.589561340E-1,-1.603191197E-1,9.948160052E-1,9.690931320E0
4.610634340E-1,-1.172483116E-1,1.037886858E0,9.719047546E0
4.631748830E-1,-1.501496136E-1,1.038485050E0,9.795618057E0
4.652793950E-1,-3.182454109E-1,1.048654556E0,9.777072906E0
4.673879260E-1,-3.182454109E-1,1.077368379E0,9.743574142E0
4.694934970E-1,-2.416750938E-1,1.057627559E0,9.714859962E0
4.715939610E-1,-2.602194548E-1,1.024128079E0,9.834501266E0
4.737113830E-1,-3.092723191E-1,9.236295223E-1,9.749555588E0
4.758207170E-1,-2.667997181E-1,7.944171429E-1,9.707681656E0
4.779318410E-1,-2.620140910E-1,7.417750359E-1,9.693922997E0
4.800378090E-1,-2.189432681E-1,6.269195080E-1,9.828518867E0
4.821456490E-1,-2.667997181E-1,7.322037220E-1,9.756135941E0
4.842539350E-1,-2.901297510E-1,8.949156404E-1,9.768698692E0
4.863622210E-1,-2.033899277E-1,9.379864931E-1,9.882955551E0
4.884711390E-1,-2.267199457E-1,1.000199914E0,9.839286804E0
4.905813690E-1,-2.703889608E-1,1.105484009E0,9.661619186E0
4.926878850E-1,-2.416750938E-1,1.167697430E0,9.512666702E0
4.947952650E-1,-2.697907388E-1,1.210768223E0,9.626923561E0
4.969027790E-1,-2.745763958E-1,1.067198873E0,9.824331284E0
4.990085230E-1,-2.548356056E-1,1.010369420E0,9.992427826E0
5.011083460E-1,-3.170489967E-1,1.120439172E0,9.958329201E0
5.032281680E-1,-2.745763958E-1,1.215553880E0,9.693922997E0
5.053367900E-1,-1.351944804E-1,1.076770186E0,9.900303841E0
5.074478640E-1,-1.680957973E-1,1.158126116E0,9.985847473E0
5.095518180E-1,-1.591227055E-1,1.220339537E0,9.760323524E0
5.116483040E-1,-1.405783296E-1,1.205982566E0,9.646066666E0
5.137596120E-1,-1.686939895E-1,1.311266780E0,9.692726135E0
5.158777860E-1,-1.202393398E-1,1.325623751E0,9.806983948E0
5.179885850E-1,-1.776670814E-1,1.450050473E0,9.634101868E0
5.200968320E-1,-1.531406492E-1,1.560120344E0,9.632905960E0
5.222022080E-1,-1.190429255E-1,1.665404558E0,9.646066666E0
5.243083080E-1,-9.990034252E-2,1.631905079E0,9.699306488E0
5.264100730E-1,-6.221338734E-2,1.482951880E0,9.710074425E0
5.285279530E-1,-5.324030295E-2,1.420738459E0,9.638887405E0
5.306364940E-1,-3.469592705E-2,1.224527001E0,9.698110580E0
5.327442820E-1,4.127619043E-2,1.118644595E0,9.756135941E0
5.348454880E-1,-5.862415582E-2,1.042672515E0,9.943374634E0
5.369597050E-1,-8.195417374E-2,1.186840057E0,9.942177773E0
5.390684600E-1,2.811566554E-2,1.425524116E0,9.705288887E0
5.411781610E-1,-5.802594870E-2,1.545165181E0,9.513264656E0
5.432843530E-1,-2.991028316E-2,1.449452281E0,9.394820213E0
5.453920280E-1,-3.409772366E-2,1.262812138E0,9.821938515E0
5.474965910E-1,-1.142572835E-1,1.258624673E0,1.010429192E1
5.495901890E-1,0.000000000E0,1.234098315E0,9.970293999E0
5.517186180E-1,-2.871387079E-2,1.291526079E0,9.921838760E0
5.538291630E-1,5.383851007E-3,1.674377680E0,9.650253296E0
5.559510390E-1,-4.785645381E-2,1.770090580E0,9.415757179E0
5.580428050E-1,-4.666004330E-2,1.913659930E0,9.461818695E0
5.601518960E-1,-2.727817893E-1,1.823929071E0,9.387042999E0
5.622561340E-1,-1.962114573E-1,1.545763373E0,9.652647018E0
5.643673500E-1,-2.195414752E-1,1.302293777E0,1.007079220E1
5.664753720E-1,-1.866401732E-1,1.335195065E0,9.936196327E0
5.685838820E-1,-1.920240223E-1,1.416550994E0,9.753743172E0
5.706919550E-1,-2.727817893E-1,1.522433400E0,9.700503349E0
5.728002530E-1,-2.213360965E-1,1.402194023E0,9.567701340E0
5.749088640E-1,-3.110669553E-1,1.388435364E0,9.859625816E0
5.770155340E-1,-1.914258152E-1,1.402194023E0,9.797411919E0
