"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.778019792E0,7.072563646E-3,1.243481671E-2,-2.044829786E-2,2.495553463E-2
1.788070792E0,-1.938196672E-3,2.410381263E-2,-3.062713087E-2,3.902270538E-2
1.798120792E0,-8.344725911E-3,2.767944439E-2,-1.371230543E-2,3.199708443E-2
1.808171792E0,-8.764373269E-3,2.801021635E-2,-2.553479075E-2,3.890259629E-2
1.818222792E0,-9.476006823E-3,2.572389336E-2,-3.241988719E-2,4.245659525E-2
1.828272792E0,-7.227496589E-3,2.565410593E-2,-3.361739695E-2,4.290104003E-2
1.838323792E0,-1.398061040E-2,2.650661627E-2,-3.705906808E-2,4.765954994E-2
1.848373792E0,-8.170780381E-3,3.209600397E-2,-2.867708445E-2,4.380970549E-2
1.858424792E0,-4.676621351E-3,3.661243217E-2,-2.673230052E-2,4.557364225E-2
1.868474792E0,-1.109698291E-2,3.320882733E-2,-3.511486888E-2,4.958853959E-2
1.878525792E0,-6.431973763E-3,2.263288386E-2,-2.643350780E-2,3.538852997E-2
1.888575792E0,-6.902016811E-3,1.907881371E-2,-3.795953929E-2,4.304144041E-2
1.898624167E0,4.998693299E-3,1.850068397E-2,-2.658261180E-2,3.277037522E-2
1.908674167E0,1.768417284E-3,2.535677273E-2,-3.167319775E-2,4.061138607E-2
1.918725167E0,-1.466280688E-3,2.265780990E-2,-2.853090405E-2,3.646284156E-2
1.928775167E0,7.860393729E-4,3.021526076E-2,-2.942903638E-2,4.218587469E-2
1.938826167E0,7.283803448E-4,1.956276902E-2,-3.586448193E-2,4.085943629E-2
1.948877167E0,-4.649733296E-3,2.831990180E-2,-2.748366773E-2,3.973649267E-2
1.958927167E0,-2.376536848E-3,2.400230405E-2,-3.571654737E-2,4.309791507E-2
1.968978167E0,-1.401425016E-2,2.477728168E-2,-2.404024243E-2,3.725917540E-2
1.979028167E0,-6.852790564E-3,3.202524124E-2,-2.598619580E-2,4.180740589E-2
1.989079167E0,-9.415323688E-3,2.029024945E-2,-2.299300611E-2,3.207835521E-2
1.999129167E0,-9.494133191E-3,2.882395919E-2,-4.754078686E-2,5.640111350E-2
2.009180167E0,-1.101058116E-2,3.029070126E-2,-3.227253735E-2,4.561004437E-2
2.019230167E0,-1.229538803E-2,1.386923579E-2,-2.703460157E-2,3.277807118E-2
2.029281167E0,-3.894099444E-3,1.976656276E-2,-3.317417800E-2,3.881246063E-2
2.039331167E0,2.527166605E-3,2.770671388E-2,-2.419285476E-2,3.686926616E-2
2.049382167E0,-1.398964617E-3,2.653940179E-2,-2.763628006E-2,3.834137354E-2
2.059432167E0,1.083889229E-2,2.807395329E-2,-3.347472489E-2,4.501317191E-2
2.069483167E0,7.980261650E-4,3.096616202E-2,-3.931433916E-2,5.005154643E-2
