"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.694344000E0,-3.458008619E-2,1.967505841E-2,5.563918054E-2,6.840035596E-2
1.704394000E0,-2.326214248E-2,-1.081480907E-2,-4.437101126E-2,5.125303901E-2
1.714444000E0,-3.944043802E-2,-1.948767342E-5,-3.242690384E-2,5.105930497E-2
1.724494000E0,-2.249652268E-2,5.671077417E-3,-1.494372904E-2,2.759655213E-2
1.734545000E0,-1.222945154E-3,-1.523702173E-3,-8.733108938E-2,8.735294177E-2
1.744595000E0,1.244844804E-1,-4.954724978E-2,-7.335682869E-1,7.457035251E-1
1.754645000E0,8.215305101E-2,-2.349407595E-2,-4.684450042E-1,4.761741461E-1
1.764695000E0,-2.858309594E-1,7.830894526E-2,1.304091643E0,1.337343128E0
1.774745000E0,1.192300627E-1,-7.060617054E-2,-4.002424961E-1,4.235505813E-1
1.784795000E0,-2.412031274E-2,-3.216407150E-3,6.588584125E-2,7.023588000E-2
1.794845000E0,-2.252827672E-1,1.463770679E-1,8.536771131E-1,8.949542919E-1
1.804895000E0,1.828495780E-1,-6.866958185E-2,-9.717557859E-1,9.911905907E-1
1.814945000E0,1.533367255E-1,-6.048261199E-2,-9.482768762E-1,9.624964061E-1
1.824996000E0,-2.787130889E-1,5.033006953E-1,1.169611530E0,1.303450692E0
1.835046000E0,1.079757075E-1,7.536936723E-2,-2.374279457E-1,2.714982953E-1
1.845096000E0,1.343960225E-1,-3.258295141E-1,-2.954446042E-1,4.599072485E-1
1.855146000E0,3.721151596E-2,-2.329464935E-2,1.834417731E-1,1.886219015E-1
1.865196000E0,9.733900096E-2,4.344718773E-2,-4.630819380E-2,1.162195682E-1
1.875246000E0,4.255440926E-2,-1.557045920E-2,-3.072887242E-2,5.475016482E-2
1.885296000E0,4.310954757E-2,4.121737031E-2,-1.860817909E-2,6.247854861E-2
1.895346000E0,9.554036088E-2,1.129798460E-1,-3.657725751E-2,1.524149006E-1
1.905396000E0,-2.467062710E-2,9.436466854E-2,-3.270055354E-2,1.028720405E-1
1.915446000E0,-5.429832263E-2,2.027057357E-1,4.332786798E-3,2.098968703E-1
1.925497000E0,-3.730850665E-2,3.934362640E-1,6.207521081E-2,4.000466852E-1
1.935547000E0,9.743917108E-2,8.416314103E-1,4.158071995E-2,8.482728211E-1
1.945597000E0,4.204180579E-1,1.349379059E0,4.905229211E-1,1.496057460E0
1.955647000E0,2.451803122E-1,3.169028623E0,2.511613011E-2,3.178598216E0
1.965697000E0,2.539790744E-1,4.259774956E0,1.815466905E-1,4.271199743E0
1.975747000E0,-4.650975464E-1,4.462083062E0,-6.861187166E-1,4.538420416E0
1.985797000E0,-1.024412009E0,3.865039952E0,-4.363133848E-1,4.022228631E0
1.995847000E0,-6.258884485E-1,3.119646548E0,-2.123702878E-1,3.188891982E0
2.005898000E0,-4.052165763E-1,2.489556437E0,-2.853675127E-2,2.522480143E0
2.015948000E0,2.750595659E-1,2.081043785E0,-1.549979925E-2,2.099200144E0
2.025998000E0,4.568612680E-1,1.846779037E0,-2.670949638E-2,1.902637229E0
2.036048000E0,3.882603818E-1,2.353976170E0,-4.749693274E-2,2.386253527E0
2.046098000E0,2.655920101E-1,2.838931373E0,-4.762849510E-2,2.851725605E0
2.056148000E0,1.929460018E-1,2.848734815E0,-7.125592411E-2,2.856150488E0
2.066198000E0,2.947803970E-1,2.504120097E0,-3.784668803E-2,2.521694929E0
2.076248000E0,2.398486199E-1,2.544282282E0,-4.261509240E-2,2.555917788E0
2.086294375E0,-1.275858070E-1,3.034768951E0,-5.891420603E-2,3.038021002E0
2.096344375E0,-1.958848490E-1,3.570288827E0,-9.526693046E-2,3.576927309E0
2.106395375E0,-2.110159265E-1,3.513993589E0,-6.396561563E-2,3.520904751E0
2.116445375E0,-3.341424275E-2,2.531213171E0,-6.154954612E-2,2.532181860E0
2.126495375E0,1.412450124E-1,1.569361545E0,-6.691495121E-2,1.577125050E0
2.136545375E0,8.583849622E-2,1.731352222E0,1.519106627E-3,1.733479470E0
2.146595375E0,-1.196732451E-1,1.951821781E0,-3.767068684E-2,1.955849951E0
2.156645375E0,-3.551381709E-1,1.968575223E0,-8.270243347E-2,2.002061743E0
2.166695375E0,-3.298638006E-1,1.723535226E0,-4.794424474E-2,1.755472145E0
2.176745375E0,-3.291855601E-1,1.003549290E0,-3.338000000E-2,1.056687530E0
