"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.514317170E-1,-1.985311974E-3,7.483099122E-3,-6.582073122E-2
3.535426180E-1,-1.985311974E-3,5.039638374E-3,-7.192938030E-2
3.556511580E-1,-2.138028387E-3,-2.290744567E-3,-8.170322329E-2
3.577608890E-1,3.054326226E-4,-3.512475174E-3,-8.536841720E-2
3.598674360E-1,3.054326226E-4,-1.069014193E-3,-9.392052889E-2
3.619755200E-1,3.054326226E-4,6.261368748E-3,-1.000291854E-1
3.640836530E-1,3.054326226E-4,6.261368748E-3,-1.049161032E-1
3.661880030E-1,3.054326226E-4,3.817907767E-3,-1.122464910E-1
3.682841130E-1,1.527163113E-4,3.817907767E-3,-1.206458881E-1
3.704085240E-1,2.596177394E-3,2.596177394E-3,-1.279762685E-1
3.725170240E-1,2.596177394E-3,1.527163113E-4,-1.328631938E-1
3.746302030E-1,1.374446787E-3,2.596177394E-3,-1.389718503E-1
3.767284800E-1,1.374446787E-3,5.039638374E-3,-1.389718503E-1
3.788221090E-1,1.374446787E-3,2.596177394E-3,-1.414152980E-1
3.809496820E-1,2.443460980E-3,1.527163113E-4,-1.438587606E-1
3.830580710E-1,3.665191587E-3,2.596177394E-3,-1.426370293E-1
3.851712490E-1,0.000000000E0,2.596177394E-3,-1.463022232E-1
3.872752130E-1,1.527163113E-4,6.261368748E-3,-1.438587606E-1
3.893835610E-1,2.443460980E-3,5.039638374E-3,-1.450804919E-1
3.914826410E-1,3.665191587E-3,2.596177394E-3,-1.463022232E-1
3.935995540E-1,2.443460980E-3,-9.162978968E-4,-1.475239545E-1
3.957079120E-1,2.443460980E-3,-3.359758761E-3,-1.487456858E-1
3.978179270E-1,1.221730490E-3,-5.803219974E-3,-1.524108797E-1
3.999216170E-1,0.000000000E0,-1.191187184E-2,-1.560760736E-1
4.020223960E-1,-2.596177394E-3,-1.786780916E-2,-1.634064466E-1
4.041407220E-1,-1.374446787E-3,-1.786780916E-2,-1.695151031E-1
4.062491710E-1,1.069014193E-3,-1.664607786E-2,-1.744020283E-1
4.083605210E-1,2.290744567E-3,-1.069014147E-2,-1.780672222E-1
4.104626830E-1,2.290744567E-3,-1.069014147E-2,-1.805106848E-1
4.125609410E-1,1.069014193E-3,-1.298088674E-2,-1.817324162E-1
4.146717900E-1,3.359758761E-3,-1.313360315E-2,-1.841758788E-1
