Force 1,Force 2
785.5224609375,1405.078125
785.5224609375,1407.4951171875
786.328125,1407.4951171875
787.1337890625,1408.30078125
788.7451171875,1411.5234375
789.55078125,1414.74609375
788.7451171875,1417.1630859375
785.5224609375,1421.19140625
779.0771484375,1420.3857421875
771.826171875,1423.6083984375
767.7978515625,1423.6083984375
764.5751953125,1421.9970703125
758.1298828125,1421.9970703125
752.490234375,1420.3857421875
745.2392578125,1413.134765625
739.599609375,1415.5517578125
753.2958984375,1411.5234375
765.380859375,1412.3291015625
779.8828125,1416.357421875
787.1337890625,1420.3857421875
791.9677734375,1420.3857421875
796.8017578125,1429.248046875
800.0244140625,1438.1103515625
801.6357421875,1443.75
804.8583984375,1446.1669921875
808.0810546875,1451.0009765625
812.109375,1462.2802734375
816.1376953125,1468.7255859375
819.3603515625,1479.19921875
820.166015625,1484.8388671875
820.166015625,1492.08984375
819.3603515625,1491.2841796875
822.5830078125,1497.7294921875
824.1943359375,1500.9521484375
825.0,1504.1748046875
829.0283203125,1508.203125
832.2509765625,1515.4541015625
833.8623046875,1519.482421875
836.279296875,1525.1220703125
838.6962890625,1528.3447265625
839.501953125,1529.150390625
839.501953125,1530.76171875
842.724609375,1532.373046875
842.724609375,1535.595703125
845.1416015625,1538.818359375
845.947265625,1543.65234375
846.7529296875,1542.8466796875
849.169921875,1542.8466796875
849.169921875,1540.4296875
847.55859375,1539.6240234375
844.3359375,1533.984375
842.724609375,1522.705078125
841.11328125,1513.037109375
834.66796875,1492.8955078125
828.22265625,1468.7255859375
821.77734375,1441.3330078125
806.4697265625,1409.1064453125
779.0771484375,1360.7666015625
759.7412109375,1308.3984375
729.931640625,1262.4755859375
706.5673828125,1223.8037109375
660.64453125,1186.7431640625
626.806640625,1156.93359375
589.74609375,1140.8203125
596.19140625,1156.93359375
609.08203125,1172.2412109375
633.251953125,1197.216796875
649.365234375,1228.6376953125
664.6728515625,1249.5849609375
679.1748046875,1270.5322265625
692.87109375,1289.0625
705.76171875,1305.9814453125
714.6240234375,1322.0947265625
723.486328125,1335.791015625
729.1259765625,1346.2646484375
739.599609375,1358.349609375
739.599609375,1360.7666015625
740.4052734375,1367.2119140625
743.6279296875,1373.6572265625
750.0732421875,1380.908203125
752.490234375,1384.130859375
753.2958984375,1389.7705078125
753.2958984375,1392.1875
752.490234375,1392.9931640625
754.1015625,1396.2158203125
755.712890625,1394.6044921875
755.712890625,1397.8271484375
758.1298828125,1396.2158203125
757.32421875,1395.41015625
756.5185546875,1397.021484375
756.5185546875,1394.6044921875
756.5185546875,1392.9931640625
757.32421875,1394.6044921875
760.546875,1398.6328125
759.7412109375,1399.4384765625
761.3525390625,1401.0498046875
763.76953125,1405.8837890625
765.380859375,1407.4951171875
765.380859375,1409.1064453125
766.1865234375,1409.1064453125
769.4091796875,1410.7177734375
771.0205078125,1414.74609375
772.6318359375,1417.1630859375
775.048828125,1417.96875
775.8544921875,1418.7744140625
774.2431640625,1422.802734375
776.66015625,1424.4140625
777.4658203125,1417.96875
779.0771484375,1420.3857421875
779.8828125,1421.19140625
780.6884765625,1421.9970703125
783.10546875,1421.19140625
785.5224609375,1425.2197265625
786.328125,1426.8310546875
787.1337890625,1426.8310546875
787.939453125,1430.0537109375
790.3564453125,1431.6650390625
791.162109375,1434.08203125
792.7734375,1430.0537109375
