"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.078826625E0,-1.062238067E-1,-1.743932813E-1,7.184962630E-1
3.088876625E0,-6.508728862E-2,-1.320604682E-1,5.586714149E-1
3.098926625E0,-3.744485322E-3,-2.554443106E-2,3.557729423E-1
3.108975625E0,1.066934038E-2,2.202095650E-2,2.123774439E-1
3.119025625E0,3.946048021E-2,5.906397104E-2,-1.709696651E-2
3.129075625E0,2.703310363E-2,2.822802588E-2,-1.461007595E-1
3.139124625E0,5.322375894E-2,9.812903404E-2,-9.243872762E-2
3.149174625E0,3.567512333E-2,8.004616946E-2,-8.663783222E-2
3.159224625E0,-6.159294862E-3,-2.690600976E-2,1.880758405E-1
3.169273625E0,-5.718274973E-3,-5.637473892E-3,3.105024397E-1
3.179323625E0,1.726484299E-2,3.520790488E-3,3.007403016E-1
3.189373625E0,-1.480787154E-2,-4.448668286E-2,3.816138506E-1
3.199422625E0,-2.580554783E-2,-5.940865353E-2,4.053790569E-1
3.209472625E0,-1.862664707E-3,8.120723069E-4,4.535915852E-1
3.219522625E0,-2.399671590E-3,1.776577160E-2,5.441316366E-1
3.229571625E0,-3.111600503E-2,-7.585126907E-2,7.660000920E-1
3.239621625E0,-2.497231588E-2,-8.546615392E-2,6.013570428E-1
3.249671625E0,-5.504075438E-3,-1.879019290E-2,5.909236073E-1
3.259720625E0,-2.769345976E-2,-7.282970101E-2,5.677935481E-1
3.269770625E0,1.771956123E-2,-2.874505892E-2,3.889494836E-1
3.279820625E0,9.754346684E-3,-6.716104597E-2,3.730131984E-1
3.289869625E0,2.175002359E-2,-5.502662063E-2,4.536702335E-1
3.299919625E0,2.841683477E-2,-1.321000308E-1,6.627644300E-1
3.309969625E0,6.754639000E-2,-2.333784550E-1,7.449905872E-1
3.320018625E0,8.629314601E-3,-1.531514227E-1,8.384755850E-1
3.330068625E0,1.616872288E-2,-1.606527567E-1,8.784051538E-1
3.340118625E0,1.886996999E-2,1.379164495E-2,9.277110696E-1
3.350168625E0,-1.755728014E-2,3.939314187E-2,9.961692095E-1
3.360217625E0,-1.315667294E-2,-1.925822161E-2,1.066897035E0
3.370267625E0,-1.563048363E-2,-2.902989089E-2,1.063380241E0
3.380317625E0,-2.972518839E-2,-2.628612518E-2,1.002419710E0
3.390366625E0,-2.136579156E-2,-5.792367831E-2,9.255149364E-1
3.400416625E0,-2.337910235E-2,-4.706628621E-2,8.743550181E-1
3.410466625E0,-5.327130668E-3,-6.734572817E-3,8.298269510E-1
3.420515625E0,-1.578242518E-2,-2.534482256E-2,8.939135671E-1
3.430565625E0,5.855465680E-2,6.089339405E-2,1.018316150E0
3.440615625E0,-3.183212876E-2,-3.522926942E-2,1.066167355E0
3.450664625E0,-2.617584169E-2,-4.435325786E-2,9.690560102E-1
3.460714625E0,-2.202381939E-2,-6.532122195E-2,8.703445792E-1
3.470764625E0,-5.536722951E-3,-1.319034398E-1,8.543256521E-1
3.480813625E0,-1.906405576E-2,-5.171950161E-2,8.687347770E-1
3.490863625E0,-1.334984899E-1,-3.666758165E-2,1.201151371E0
3.500913625E0,-7.855082303E-2,-5.735077858E-1,1.458515048E0
3.510962625E0,8.103378117E-3,1.108935028E-1,1.632815242E0
3.521012625E0,7.150089368E-4,-5.487782136E-2,1.224264026E0
3.531062625E0,1.746451482E-3,-5.373585597E-2,6.403992772E-1
3.541112625E0,-2.523089759E-3,-4.580957443E-2,9.960230440E-2
